Type                                  Module                      Label             Process           
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsBMTF"    "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFNeg"   "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFPos"   "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFPos"   "LHEembeddingCLEAN"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "BMTF"            "LHEembeddingCLEAN"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "EMTF"            "LHEembeddingCLEAN"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "OMTF"            "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "caloStage2Digis"           "MP"              "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau"             "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau2"            "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau3"            "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau4"            "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau5"            "LHEembeddingCLEAN"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau6"            "LHEembeddingCLEAN"   
CTPPSRecord                           "onlineMetaDataDigis"       ""                "LHEembeddingCLEAN"   
ClusterSummary                        "clusterSummaryProducer"    ""                "LHEembeddingCLEAN"   
DCSRecord                             "onlineMetaDataDigis"       ""                "LHEembeddingCLEAN"   
EBDigiCollection                      "ecalDigis"                 "ebDigis"         "LHEembeddingCLEAN"   
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "LHEembeddingCLEAN"   
EEDigiCollection                      "ecalDigis"                 "eeDigis"         "LHEembeddingCLEAN"   
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "LHEembeddingCLEAN"   
EcalTrigPrimCompactColl               "ecalCompactTrigPrim"       ""                "LHEembeddingCLEAN"   
HcalDataFrameContainer<QIE10DataFrame>    "hcalDigis"                 "ZDC"             "LHEembeddingCLEAN"   
HcalNoiseSummary                      "hcalnoise"                 ""                "LHEembeddingCLEAN"   
HcalUnpackerReport                    "castorDigis"               ""                "LHEembeddingCLEAN"   
HcalUnpackerReport                    "hcalDigis"                 ""                "LHEembeddingCLEAN"   
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "LHEembeddingCLEAN"   
L1MuGMTReadoutCollection              "gtDigis"                   ""                "LHEembeddingCLEAN"   
LHEEventProduct                       "externalLHEProducer"       ""                "LHEembeddingCLEAN"   
OnlineLuminosityRecord                "onlineMetaDataDigis"       ""                "LHEembeddingCLEAN"   
ROOT::Math::LorentzVector<ROOT::Math::PxPyPzE4D<double> >    "externalLHEProducer"       "vertexPosition"   "LHEembeddingCLEAN"   
TCDSRecord                            "tcdsDigis"                 "tcdsRecord"      "LHEembeddingCLEAN"   
TotemTriggerCounters                  "totemTriggerRawToDigi"     ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoAll"           ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoFastjetAll"    ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoFastjetAllCalo"   ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoFastjetAllTmp"   ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoFastjetCentral"   ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoFastjetCentralCalo"   ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "LHEembeddingCLEAN"   
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "LHEembeddingCLEAN"   
double                                "ak4CaloJets"               "rho"             "LHEembeddingCLEAN"   
double                                "ak4PFJets"                 "rho"             "LHEembeddingCLEAN"   
double                                "ak4PFJetsCHS"              "rho"             "LHEembeddingCLEAN"   
double                                "ak4TrackJets"              "rho"             "LHEembeddingCLEAN"   
double                                "ak5CastorJets"             "rho"             "LHEembeddingCLEAN"   
double                                "ak7CastorJets"             "rho"             "LHEembeddingCLEAN"   
double                                "ak8PFJetsCHS"              "rho"             "LHEembeddingCLEAN"   
double                                "ak8PFJetsCHSSoftDrop"      "rho"             "LHEembeddingCLEAN"   
double                                "cmsTopTagPFJetsCHS"        "rho"             "LHEembeddingCLEAN"   
double                                "ak4CaloJets"               "sigma"           "LHEembeddingCLEAN"   
double                                "ak4PFJets"                 "sigma"           "LHEembeddingCLEAN"   
double                                "ak4PFJetsCHS"              "sigma"           "LHEembeddingCLEAN"   
double                                "ak4TrackJets"              "sigma"           "LHEembeddingCLEAN"   
double                                "ak5CastorJets"             "sigma"           "LHEembeddingCLEAN"   
double                                "ak7CastorJets"             "sigma"           "LHEembeddingCLEAN"   
double                                "ak8PFJetsCHS"              "sigma"           "LHEembeddingCLEAN"   
double                                "ak8PFJetsCHSSoftDrop"      "sigma"           "LHEembeddingCLEAN"   
double                                "cmsTopTagPFJetsCHS"        "sigma"           "LHEembeddingCLEAN"   
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "LHEembeddingCLEAN"   
edm::Association<vector<reco::Track> >    "lowPtGsfToTrackLinks"      ""                "LHEembeddingCLEAN"   
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "LHEembeddingCLEAN"   
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "LHEembeddingCLEAN"   
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "electronGsfTracks"         ""                "LHEembeddingCLEAN"   
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "LHEembeddingCLEAN"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "standAloneMuons"           ""                "LHEembeddingCLEAN"   
